"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"DIGI-KEY_PART_NUMBER_4";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"3";"1.0K";"RESISTOR0603";"0603-RES";"R7, R16, R33";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1.5nH";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"L3, L4";"303030001";"";"";"";"";"";"";"";"";"BLM18AG121SN1D";"";"";"";"120";
"1";"100";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"R10";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R12, R29";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100nF";"CAPPTH";"CAP-PTH-SMALL";"C5, C6";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10K";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"R14";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"13nH";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"L2";"303030001";"";"";"";"";"";"";"";"";"BLM18AG121SN1D";"";"";"";"120";
"1";"180";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R23";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1K";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R1, R31";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1N4148";"DIODE-D-2.5";"D-2.5";"D4";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1N5817";"DIODE-D-2.5";"D-2.5";"D1, D7";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";
