"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";"VALUE";
"7";"";"DIODE-D-2.5";"D-2.5";"D1, D3, D4, D5, D9, D12, D13";"DIODE";"";"";
"7";"";"M02JST-PTH-VERT";"JST-2-PTH-VERT";"JP1, JP5, JP6, JP7, JP8, JP12, JP15";"Standard 2-pin 0.1" header. Use with";"";"";
"1";"";"M05NO_SILK";"1X05_NO_SILK";"JP10";"Header 5";"";"";
"1";"";"SWITCH-DPDTOS";"OS";"S1";"DPDT Version of the COM-00597";"";"";
"2";"1.5nH";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"L3, L11";"303030001";"BLM18AG121SN1D";"120";
"2";"10k";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R4, R6";"Resistor";"";"";
"1";"13nH";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"L12";"303030001";"BLM18AG121SN1D";"120";
"1";"1K";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R8";"Resistor";"";"";
"1";"1V-5V Boost 5V Regulator";"USB-BOOST";"USB-BOOST";"U$3";"";"";"";
"2";"1pF";"CERAMIC-10PF-50V-5%-NPO(0603)";"C0603";"C11, C20";"302010097";"";"10pf";
"2";"20pF";"CERAMIC-10PF-50V-5%-NPO(0603)";"C0603";"C5, C12";"302010097";"";"10pf";
"2";"3.3K";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R1, R2";"Resistor";"";"";
"1";"30nH";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"L9";"303030001";"BLM18AG121SN1D";"120";
"1";"4.7K";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R3";"Resistor";"";"";
"1";"Blue 3mm";"LED3MM";"LED3MM";"D7";"LED";"";"";
"1";"CN3085-MODULE";"CN3085-MODULE";"CN3085-MODULE";"U$1";"";"";"";
"3";"DNI";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R5, R7, R9";"Resistor";"";"";
"1";"Green 3mm";"LED3MM";"LED3MM";"D6";"LED";"";"";
"8";"INA219";"INA219";"INA219";"U$2, U$4, U$5, U$6, U$7, U$8, U$9, U$10";"";"";"";
"1";"JP9";"M02JST-PTH-VERT";"JST-2-PTH-VERT";"JP9";"Standard 2-pin 0.1" header. Use with";"";"";
"1";"M20X2";"M20X2";"2X20";"JP13";"0.1" spaced headers";"";"";
"1";"PG203J";"PG203J";"PG203J";"OUT2";"MIC/HEADPHONE JACK";"";"";
"1";"PTCPTH";"PTCPTH";"PTC";"F1";"Resettable Fuse PTC";"";"";
"1";"Red 3mm";"LED3MM";"LED3MM";"D8";"LED";"";"";
"1";"SMA-VERT";"SMA-VERT";"SMA-VERT";"X3";"";"";"";
"1";"zener 5.2v";"ZENER-DIODEZD-2.5";"ZDIO-2.5";"D2";"Z-Diode";"";"";
