"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";"VALUE";
"2";"1.5nH";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"L3, L11";"303030001";"BLM18AG121SN1D";"120";
"1";"13nH";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"L12";"303030001";"BLM18AG121SN1D";"120";
"1";"1K";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R8";"Resistor";"";"";
"7";"1N5817";"DIODE-D-2.5";"D-2.5";"D1, D3, D4, D5, D9, D12, D13";"DIODE";"";"";
"1";"1V-5V Boost 5V Regulator";"USB-BOOST";"USB-BOOST";"U$3";"";"";"";
"2";"1pF";"CERAMIC-10PF-50V-5%-NPO(0603)";"C0603";"C11, C20";"302010097";"";"10pf";
"2";"20pF";"CERAMIC-10PF-50V-5%-NPO(0603)";"C0603";"C5, C12";"302010097";"";"10pf";
"1";"30nH";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"L9";"303030001";"BLM18AG121SN1D";"120";
"2";"4.7k";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R4, R6";"Resistor";"";"";
"3";"470";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R1, R2, R3";"Resistor";"";"";
"1";"Blue 5mm";"LED3MM";"LED3MM";"D7";"LED";"";"";
"1";"CFP2-2RC4-AW";"SWITCH-DPDTOS";"OS";"S1";"DPDT Version of the COM-00597";"";"";
"1";"CN3085-MODULE";"CN3085-MODULE";"CN3085-MODULE";"U$1";"";"";"";
"1";"CONN_20X2";"CONN_20X2";"2X20";"JP13";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"2";"DNI-0R";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R9, R10";"Resistor";"";"";
"1";"DNI-1K";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R12";"Resistor";"";"";
"2";"DNI-1k";"R-EU_R0603";"R0603";"R11, R13";"RESISTOR, European symbol";"";"";
"2";"DNI-4.7k";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"R5, R7";"Resistor";"";"";
"1";"DNI-5.2V Zener";"ZENER-DIODEZD-2.5";"ZDIO-2.5";"D10";"Z-Diode";"";"";
"1";"Green 5mm";"LED3MM";"LED3MM";"D6";"LED";"";"";
"8";"INA219";"INA219";"INA219";"U$2, U$4, U$5, U$6, U$7, U$8, U$9, U$10";"";"";"";
"8";"Micro JST";"M02JST-PTH-VERT";"JST-2-PTH-VERT";"JP1, JP5, JP6, JP7, JP8, JP9, JP12, JP15";"Standard 2-pin 0.1" header. Use with";"";"";
"1";"PTCPTH";"PTCPTH";"PTC";"F1";"Resettable Fuse PTC";"";"";
"1";"Red 5mm";"LED3MM";"LED3MM";"D8";"LED";"";"";
"1";"SC1464-ND";"PG203J";"PG203J";"OUT2";"MIC/HEADPHONE JACK";"";"";
"1";"SMA-VERT";"SMA-VERT";"SMA-VERT";"X3";"";"";"";
"1";"VDD-EN";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"JP4";"Normally closed trace jumper";"";"";
"1";"micro USB breakout board";"M05NO_SILK";"1X05_NO_SILK";"JP10";"Header 5";"";"";
"1";"zener 5.2v";"ZENER-DIODEZD-2.5";"ZDIO-2.5";"D2";"Z-Diode";"";"";
