60,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,realTime,BATT_A_V,12,V,4,NONE,4,1,3,Cell A,Battery pair A voltage (0-2.5V scale)
1,realTime,BATT_B_V,12,V,4,NONE,4,2,3,Cell A + B,Battery pairs A+B voltage (0-3.3V scale)
2,realTime,BATT_V,12,V,cubesatsim_ina219_voltage,Battery,4,1,3,Cell A + B + C,Cell A + B + C,Battery A+B+C voltage (0-5.0V scale)
3,realTime,battAtemp,12,C,8,NONE,4,4,3,Temperature A,Battery pair A temperature
4,realTime,battBtemp,12,C,8,NONE,4,5,3,Temperature B,Battery pair B temperature
5,realTime,battCtemp,12,C,8,NONE,4,6,3,Temperature C,Battery pair C temperature
6,realTime,battCurr,12,mA,cubesatsim_ina219_current,Battery,4,2,4,Current,Total Battery DC current
7,realTime,battCardTemp,12,C,8,NONE,4,8,3,Board Temp,Battery Card Temperature
8,realTime,posXv,12,V,cubesatsim_ina219_voltage,+X Panel,8,1,3,Voltage,+X solar Panel voltage
9,realTime,posYv,12,V,cubesatsim_ina219_voltage,+Y Panel,9,1,3,Voltage,+Y solar Panel voltage
10,realTime,posZv,12,V,cubesatsim_ina219_voltage,+Z Panel,10,1,3,Voltage,+Z solar Panel voltage
11,realTime,negXv,12,V,cubesatsim_ina219_voltage,-X Panel,11,1,3,Voltage,-X solar Panel voltage
12,realTime,negYv,12,V,cubesatsim_ina219_voltage,-Y Panel,12,1,3,Voltage,-Y solar Panel voltage
13,realTime,negZv,12,V,cubesatsim_ina219_voltage,-Z Panel,13,1,3,Voltage,-Z solar Panel voltage
14,realTime,posXi,12,mA,cubesatsim_ina219_current,+X Panel,8,2,4,Current,+X solar Panel current
15,realTime,posYi,12,mA,cubesatsim_ina219_current,+Y Panel,9,2,4,Current,+Y solar Panel current
16,realTime,posZi,12,mA,cubesatsim_ina219_current,+Z Panel,10,2,4,Current,+Z solar Panel current
17,realTime,negXi,12,mA,cubesatsim_ina219_current,-X Panel,11,2,4,Current,-X solar Panel current
18,realTime,negYi,12,mA,cubesatsim_ina219_current,-Y Panel,12,2,4,Current,-Y solar Panel current
19,realTime,negZi,12,mA,cubesatsim_ina219_current,-Z Panel,13,2,4,Current,-Z solar Panel current
20,realTime,PSUVoltage,12,V,cubesatsim_ina219_voltage,PSU,5,2,3,Board Voltage,Power Supply Voltage
21,realTime,spin,12,rpm,12,Computer Software,3,1,3,Spacecraft Spin,Calculated spin rate using solar cells
22,realTime,TxPAi,12,mA,38,Radio,1,2,3,PA Current,Transmit power amplifier current
23,realTime,TxTemp,12,C,37,Radio,1,1,3,TX Temperature,Transmitter card temperature
24,realTime,FwdPower,12,mW,40,Radio,1,4,3,Fwd Power,Receiver card temperature
25,realTime,rssi,12,dBm,14,Radio,1,3,3,RSSI,Received Signal Strength Indication
26,realTime,IHUcpuTemp,12,C,cubesatsim_temperature,Computer Hardware,2,1,3,Temperature,Internal Temperature of IHU
27,realTime,SatelliteXAxisAngularVelocity,12,dps,13,+X Panel,8,3,3,Rotation,Angular Veolcity around X Axis
28,realTime,SatelliteYAxisAngularVelocity,12,dps,13,+Y Panel,9,3,3,Rotation,Angular Veolcity around Y Axis
29,realTime,SatelliteZAxisAngularVelocity,12,dps,13,+Z Panel,10,3,3,Rotation,Angular Veolcity around Z Axis
