60,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,realTime,BATT_A_V,12,V,cubesatsim_ina219_voltage|FLOAT2,NONE,4,1,3,Cell A,Battery pair A voltage (0-2.5V scale)
1,realTime,BATT_B_V,12,V,cubesatsim_ina219_voltage|FLOAT2,NONE,4,2,3,Cell A + B,Battery pairs A+B voltage (0-3.3V scale)
2,realTime,BATT_V,12,V,cubesatsim_ina219_voltage|FLOAT2,Battery,4,1,3,Cell A+B+C Voltage,Battery A+B+C voltage (0-5.0V scale)
3,realTime,SatelliteXAxisAcceleration,12,g,cubesatsim_acceleration|FLOAT2,+X Panel,7,4,3,Acceleration,Acceleration around X Axis
4,realTime,SatelliteYAxisAcceleration,12,g,cubesatsim_acceleration|FLOAT2,+Y Panel,8,4,3,Acceleration,Acceleration around Y Axis
5,realTime,SatelliteZAxisAcceleration,12,g,cubesatsim_acceleration|FLOAT2,+Z Panel,9,4,3,Acceleration,Acceleration around Z Axis
6,realTime,battCurr,12,mA,cubesatsim_ina219_current,Battery,4,2,4,Current,Total Battery DC current
7,realTime,Temperature,12,C,cubesatsim_temperature,Experiments,6,2,3,Temp,STEM Payload Sensor Temperature
8,realTime,posXv,12,V,cubesatsim_ina219_voltage|FLOAT2,+X Panel,7,1,3,Voltage,+X solar Panel voltage
9,realTime,posYv,12,V,cubesatsim_ina219_voltage|FLOAT2,+Y Panel,8,1,3,Voltage,+Y solar Panel voltage
10,realTime,posZv,12,V,cubesatsim_ina219_voltage|FLOAT2,+Z Panel,9,1,3,Voltage,+Z solar Panel voltage
11,realTime,negXv,12,V,cubesatsim_ina219_voltage|FLOAT2,-X Panel,10,1,3,Voltage,-X solar Panel voltage
12,realTime,negYv,12,V,cubesatsim_ina219_voltage|FLOAT2,-Y Panel,11,1,3,Voltage,-Y solar Panel voltage
13,realTime,negZv,12,V,cubesatsim_ina219_voltage|FLOAT2,-Z Panel,12,1,3,Voltage,-Z solar Panel voltage
14,realTime,posXi,12,mA,cubesatsim_ina219_current,+X Panel,7,2,4,Current,+X solar Panel current
15,realTime,posYi,12,mA,cubesatsim_ina219_current,+Y Panel,8,2,4,Current,+Y solar Panel current
16,realTime,posZi,12,mA,cubesatsim_ina219_current,+Z Panel,9,2,4,Current,+Z solar Panel current
17,realTime,negXi,12,mA,cubesatsim_ina219_current,-X Panel,10,2,4,Current,-X solar Panel current
18,realTime,negYi,12,mA,cubesatsim_ina219_current,-Y Panel,11,2,4,Current,-Y solar Panel current
19,realTime,negZi,12,mA,cubesatsim_ina219_current,-Z Panel,12,2,4,Current,-Z solar Panel current
20,realTime,PSUVoltage,12,V,cubesatsim_ina219_voltage|FLOAT2,PSU,5,1,3,Board Voltage,Power Supply Voltage
21,realTime,spin,12,rpm,cubesatsim_rpm,Computer Software,3,1,3,Spacecraft Spin,Calculated spin rate using solar cells
22,realTime,Pressure,12,bar,cubesatsim_pressure,Experiments,6,3,3,Pressure,STEM Payload Sensor Pressure
23,realTime,Altitude,12,m,cubesatsim_altitude,Experiments,6,4,3,Altitude,STEM Payload Sensor Altitude
24,realTime,Resets,12,-,12,NONE,3,2,3,Reset Count, Software Reset Count
25,realTime,rssi,12,dBm,cubesatsim_rssi|INT,Radio,1,1,3,RSSI,Received Signal Strength Indication
26,realTime,IHUcpuTemp,12,C,cubesatsim_temperature,Computer Hardware,2,1,3,Temperature,Internal Temperature of IHU
27,realTime,SatelliteXAxisAngularVelocity,12,dps,cubesatsim_rotation|INT,+X Panel,7,3,3,Rotation,Angular Veolcity around X Axis
28,realTime,SatelliteYAxisAngularVelocity,12,dps,cubesatsim_rotation|INT,+Y Panel,8,3,3,Rotation,Angular Veolcity around Y Axis
29,realTime,SatelliteZAxisAngularVelocity,12,dps,cubesatsim_rotation|INT,+Z Panel,9,3,3,Rotation,Angular Veolcity around Z Axis
30,realTime,Sensor1,12,raw,cubesatsim_sensor1|INT,Experiments,6,5,3,Sensor 1,STEM Payload Extra Sensor 1
31,realTime,PSUCurrent,12,mA,cubesatsim_ina219_current,PSU,5,2,3,Current,Power Supply DC Current
32,realTime,Sensor2,12,signed raw,cubesatsim_sensor2|INT,Experiments,6,6,3,Sensor 2,STEM Payload Extra Sensor 2
33,realTime,Sensor3,12,signed raw,cubesatsim_sensor3|FLOAT2,Experiments,6,7,3,Sensor 3,STEM Payload Extra Sensor 3
34,realTime,STEMPayloadStatus,1,-,17,Experiments,6,1,0,STEM Payload Status, STEM Payload STEM Payload Board Failure Indicator
35,realTime,Nominal Mode,1,-,17,Computer Software,3,2,0,Nominal Mode, Nominal Mode (Not Safe Mode)
36,realTime,expFailure2,1,-,17,NONE,6,7,0,Exp 2,Experiment 2 Failure Indicator
37,realTime,expFailure3,1,-,17,NONE,6,8,0,Exp 3,Experiment 3 Failure Indicator
38,realTime,I2CfailureBatt,1,-,17,Computer Hardware,2,2,0,Battery I2C,Battery I2C Bus failure indicator
39,realTime,I2CfailurePSU1,1,-,17,Computer Hardware,2,3,0,PSU1 I2C,PSU2 I2C Bus failure indicator
40,realTime,I2CfailurePSU2,1,-,17,Computer Hardware,2,4,0,PSU2 I2C,PSU2 I2C Bus failure indicator
41,realTime,I2CfailureRF,1,-,17,NONE,2,5,0,RF I2C,RF I2C Bus failure indicator
42,realTime,GroundCommands,4,-,1,Computer Software,3,3,0,Ground Commands,Number of ground commands received
43,realTime,RxAntDeploy,1,-,16,Radio,1,3,0,RX Antenna,Receive antenna status
44,realTime,TxAntDeploy,2,-,16,Radio,1,2,0,TX Antenna,Transmit antenna status
45,realTime,ICR3VProt,12,V,43,NONE,7,2,3,3V Prot,ICR 3V Proteted
46,realTime,ICR2dot5V,12,V,43,NONE,7,3,3,2.5V,ICR 2.5V
47,realTime,ICR2dot5VProt,12,V,43,NONE,7,4,3,2.5V Prot,ICR 2.5V Protected
48,realTime,rf6,12,-,0,NONE,0,0,0,None,None
49,realTime,rf7,12,-,0,NONE,0,0,0,None,None
50,realTime,MuxTest,12,V,43,NONE,7,5,3,Sensor Power,Sensor Power Voltage at the ICR
51,realTime,LtVGACtl,12,V,42,NONE,1,4,3,VGA Control,Control Voltage to the Variable Gain Amplifier (VGA)
52,realTime,pad,4,-,34,NONE,0,0,0,None,Unused
53,realTime,IHUdiagData,32,-,18,NONE,3,2,0,Diagnostic Info,Diagnostic Data on IHU Performance
54,realTime,pad1,1,-,0,NONE,0,0,0,NONE,Filler
55,realTime,wodSize,8,000s,36,NONE,3,3,0,WOD Stored,Number of WOD data payloads kept for each of Science and Housekeeping.  In hundreds
56,realTime,swCmds,32,-,35,NONE,7,6,0,Diagnostic,ICR Diagnostic information
57,realTime,hwCmdCnt,6,-,1,NONE,7,7,0,HW Command Count,Number of hardware commands since last reset
58,realTime,swCmdCnt,6,-,1,NONE,7,8,0,SW Command Count,Number of software commands since last reset
59,realTime,pad2,28,-,0,NONE,0,0,0,NONE,Filler
